SMILES,Solved_with_AiZynthFinder
COC(=O)C(NC1=NC(NC2=CC=CC(C3=CC=CS3)=C2)=NC2=C(Br)C=CC=C12)C1=CC=C(C2=CC=CC=C2)C=C1,True
CCCC(C(=O)N(C1=CC=CC([N+](=O)[O-])=C1)C1CCCC1)N(C)C1=CC(C)=NC2=CC(OC)=CC=C12,True
COC1=CC=C(OC)C(CN(C2=NC(NC(C)C3=NC(C4=CC=C(Cl)C=C4)=NO3)=NC3=NC=CC=C23)C2CCCCC2)=C1,True
CC1=CC2=C(NCCC3CCCCCC3)N=C(NC3=CC=C(OC(C)C)C=C3)N=C2S1,True
CCSCC1=CN=C(N(C(C)CC)C2CCCCCC2)N=C1N(C)C(=C[N+](=O)[O-])SC,True
COC(=O)CC(NC1=NC2=C(C#N)C=NN2C(NC(C)C2=NC(C3=CC=CN=C3)=NO2)=C1)C1=CC=C([N+](=O)[O-])C=C1,True
CCOC(=O)CCN(CCC(=O)OCC)C1=C2COCC2=NC(N(CC2=CC=CN=C2)CC2=CSC=C2)=N1,True
FC(F)(F)C1=NC(N2CCC(N3C(C(F)(F)F)=NC4=CC=CC=C43)CC2)=CC(NC2=CC=C(OC3=CC=CC=C3)C=C2)=N1,True
COC1=CC=CC2=C(N(C)C(C)CC3=CC(C)=CC=N3)N=C(NC3=CC=C(C4=CN5C=CC(C)=CC5=N4)C=C3)N=C12,True
FC(F)(F)C1=CC2=NC(NCCC3=CSC4=CC=C(Br)C=C34)=NC(NCCC3=CC=C(Cl)C(Cl)=C3)=C2C=C1,True
CC1=NC(N2CCN3C(=CC4=CC=CC=C43)C2)=C(C)C(N(CC2=C(C)C=CS2)C2CCCC2)=N1,True
COC1=NC(NC(C)C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)=NC(NCCOCCOCCOCCOCCOCCC(=O)OC(C)(C)C)=C1,True
CCCN(CC1=CC=C(Cl)C=C1)C1=NC(NCCC2=CN(CC)C=N2)=C2C=CC([N+](=O)[O-])=CC2=N1,True
C#CC(C)(CC)NC(=O)C1CC2=CC=CC=C2N1C1=NC=CC=C1C(=O)NC,False
CCCCOCCOC(=O)[C@@H]1CCCN1C1=NC=C(OC)C(N(CC)C2CCC3=CC=CC=C32)=N1,True
CC1=CC=CC2=C(NCC3=CC=C(Cl)C=C3F)N=C(NCCOB(C3=CC=CC=C3)C3=CC=CC=C3)N=C12,True
COC(=O)C1SCCN1C1=NC(NCCC2=CC(OC)=CC(OC)=C2)=NC2=CC(C)=CC=C12,True
COC(=O)[C@H](CC(N)=O)N(CC1=CC=CC=C1)C(=O)C1CNC(=O)CN1C1=NC=CC=C1F,True
CN(CC1=CC=CO1)C1=NC(NC2=CC(Br)=C(F)C(S(C)(=O)=O)=C2)=NC2=CC(F)=CC=C12,True
COC(=O)C1=CC=C(CCNC2=NC(NCC3=CC(F)=CC(Cl)=C3)=C3C=C(C)SC3=N2)C=C1,True
CCC1=CC(F)=C(F)C=C1NC1=NC(NC(C)C2=CN(C)N=C2)=C2C=CC(F)=CC2=N1,True
CCN1N=CC2=C(N3CCC(C(F)F)CC3)N=C(N(C3CCCCC3)C3CCCCC3)N=C21,True
C1=CC=C(C2=NN(C3=CC=CC=C3)C=C2CNC2=NC(N[C@@H]3CCCC4=CC=CC=C43)=C3CSCC3=N2)C=C1,True
COC(=O)CC1CCN(C2=C(Br)C(N(CC3=CC=C(Br)C=C3)C3CCCCC3)=NC=N2)CC1,True
COC1=CC=C(C#N)C=C1NC(=O)C1(N(C2=CC=C(C)C=C2)C2=NC=CC(N)=C2F)CCCCC1,True
O=C(N[C@@H](CO)C(C1=CC=CC=C1)C1=CC=CC=C1)[C@@H]1COCCN1C1=NC=C2N=CNC2=N1,True
CC(C)[C@@H]1CN(C2=C([N+](=O)[O-])C=CC(O)=N2)C[C@H]1C(=O)NC1=CC=C(F)C(Br)=C1,True
CC(C)N1C=NC2=C(NCCCC3=CC=C(Cl)C=C3)N=C(NC3=CC=C(C4=CC(C5=CC=CC=C5)=CC(C5=CC=CC=C5)=C4)C=C3)N=C21,True
COC1=C(OC)C(CN(C2=NC(N(CC3=CC=CC(F)=C3)C3CCCC3)=C3SC=C(Br)C3=N2)C2CCCC3=CC=CC=C32)=CC=C1,True
CC(=O)NC1CCN(C(=O)C2=CC=CC=C2N(C2=CC=CC=C2)C2=NC3=C(NC=N3)C(N)=N2)C1,False
COC(=O)C1CCCN=C1NC1=NC(N2CC=C(C3=CC=C(OCC4=CC=CC=C4)C=C3)CC2)=C2SC=C(C)C2=N1,False
CC1=NC(N(CC(=O)NC2=CC(F)=C(F)C=C2C)C2=CC=CC=C2C)=NC(C#N)=C1,True
CC1=CC(C(C)NC2=C3N=CN(C)C3=NC(N3CCC4(CC3)OC(=O)C3=CC=NC=C34)=N2)=C(C)O1,True
CC1=CN(C2=CC=C(CNC3=NC(NCCN4C=CN=N4)=C4C=CC(Cl)=NC4=N3)C=C2)N=C1,True
CC1=C(C)C(N2CCN(CCNC(=O)[C@@H]3CCCN(C4=NC=NN5C=CC=C45)C3)CC2)=CC=C1,True
CCCCCCCCCCCCCCCCCCN(C)C1=NC(C)=C(C)C(N(CC2=CC=CC(OC3=CC=CC=C3)=C2)C(CC)CC)=N1,True
CCN(CC)C1=NC(N2C[C@H](C3=CC=CC=C3)C[C@H]2C(=O)NCCC(C)N(C)C)=NC=C1,True
CC1=NN2C(N[C@@H](CP(C3=CC=CC=C3)C3=CC=CC=C3)C3=CC=CC=C3)=CC(NC3=CC=C(C(C)C)C=C3[N+](=O)[O-])=NC2=C1,True
CCC1=C2N=C(N(CC3=CC=C(OC)C=C3OC)C3CC3)C=C(NC(CCSC)C3=NN=C4C=CC=CN34)N2N=C1,True
CC(C)C1=CSC(CNC2=NC(NC3=CC=C(SC4=NN=CS4)C(Cl)=C3)=NC3=C(Cl)C=CC=C23)=N1,True
CCOC1=CC2=C(N(CC3=C(C)C=CS3)C3CCCC3)N=C(NC3CCOC4=CC=C(Cl)C=C43)N=C2C=C1,True
CN(CC1=CC=CC(=O)N1)C(=O)[C@H]1C[C@H](O)CN1C1=CC(OC2=CC=CC=C2)=NC=N1,True
COC1=CC(CCN(CC2=CC=C(F)C=C2)C2=C3C=NN(C(C)C)C3=NC(N(CCC3=CC=C(F)C=C3)CC3=CC=CC=C3OC)=N2)=CC=C1,True
COC(=O)CNC1=CC(C2=CC=CC=C2)=NC(NCC2=CC=C(COC3=CC=C(F)C=C3)C=C2)=N1,True
CCOC(=O)C(CC(C)C)NC1=C2C(C)=CSC2=NC(N(C2CCCCC2)C2CC2)=N1,True
COC1=CC=C(CCN(CC2=CC=CC=C2C)C2=NC(NC3=CC=C4C=CC=NC4=C3)=NC3=CC=C(Cl)C=C23)C=C1OC,True
CC1=CC2=NC(N3C(CC(C)C)SC(CC(C)C)SC3CC(C)C)=NC(N(C(C)CS(C)(=O)=O)C3CC3)=C2C=C1,True
COC1=CC2=CC=C(C(C)NC3=NC(N4CC(=O)OC[C@H]4C4=CC=CC=C4)=C4C=CC(Br)=CC4=N3)C=C2C=C1,True
CCC1SCC(C(=O)OC)N1C1=NC(NC(C)C2=CC(OC)=C(OC)C(OC)=C2)=NC=C1[N+](=O)[O-],True
COC1=CC=CC2=NC(NC3=CC=CC=C3SCC3=CC=CC=C3Cl)=NC(N[C@H](C)C3=C(F)C=CC=C3F)=C12,True
CC(NC1=NC(NCC2=CC=CC=C2COC2=CC=CC=C2)=NC2=CC(Cl)=CC=C12)C1=CC=C(Cl)S1,True
C=CCC(CC=C)(CC=C)CNC(=O)[C@H](C)N(C1=C(C)C=NC=C1)C1CCCCC1,True
C[C@@H]1CN(C2=CC=C(C#N)C=N2)CCN1C(=O)C(C)(C)N(CCC#N)C1=NC=CC=C1CO,True
CCN(CCC1=CC=CC=N1)C1=NC(NCC2=CC=C(OC(C)(C)C)C=C2)=NC2=CC=C(Br)C=C12,True
CC1=CN=C(N(C)C2=CN=CC(C(=O)NC3=CN=CS3)=N2)N=C1,True
COC1=CC2=C(NCC3=CC=CC(SC)=C3)N=C(N(C)CCCC3=CC=CO3)N=C2C=C1,True
COC1=CC=C(CCN(CC2=CC=CC(C)=C2)C2=NC(NC3=CC(F)=CC(Br)=C3OC)=NC=C2C2CC2)C=C1,True
CCCN(CC1=CC=CC(OCC)=C1)C1=NC(NC2CCOC2=O)=C2C=CN=CC2=N1,True
CC[C@H]1COCCN1C1=NC(NC(C)C2=CC=C3C=C(OC)C=CC3=C2)=C2C(C(F)(F)F)=CC=CC2=N1,True
COC(=O)C1=CN=C(N2CCC3=C(C=C(C(=O)NC4=NN=C5C(Cl)=CC=CN45)C=C3)C2)N=C1,True
COC(=O)[C@@H](CC1CCCC1)NC1=NC(NCC2=CC=C(OC3=CC=C(F)C=C3)C=C2)=C2C=CC(C(F)(F)F)=CC2=N1,True
O=C(CC1CN(C2=NC=C(B(O)O)C=N2)C1)NC1=C(Br)C2=CC=CC=C2C=N1,True
CC(C)(C)N1N=CC2=C1N=CN=C2N(CC(=O)NC1=CC2=CC=CC=C2C=N1)C1=CC=C(C#N)C=N1,True
BrC1=CN=C(NC2=CC=C3C=C(Br)C4=CC=CC=C4C3=C2)N=C1NCC1=NN=CN1C1CCCCC1,True
CCCCN(CCCC)CCNC(=O)C1CCC(C)N(C2=NC=CC3=CC=NC=C23)C1,True
O=S1(=O)CC2=CC=CC=C2C(NC2=C3CCCCC3=NC(N3CCC(OC4=CC=C(Br)C=C4)CC3)=N2)C1,True
CC(=CC(=O)OC(C)C)NC1=NC2=C(Br)C=NN2C(NC2=CC(C(F)(F)F)=C(F)C=C2F)=C1,True
CC1=C(N2CCC=C(C(=O)N(C)CC3CCCCO3)C2)N=CN=C1,True
COC1=CC(CCN(CC2=CC=CC(C)=C2)C2=NC(N3CCCCCCCC3)=NC3=NC(Cl)=CC=C23)=CC=C1,True
CC1=CC(OC(F)(F)F)=CC=C1CNC1=C2C=NN(C(C)C)C2=NC(NCC2=CC=NC(OC3CCC(C)CC3)=C2)=N1,True
CC1=C(CN(C2=NC=C([N+](=O)[O-])C(NC(C3=CC=CC=C3)C3=CC=C(Br)C=C3)=N2)C2CCCC2)SC=C1,True
COCC(C)N(CC1=CC=C([N+](=O)[O-])C=C1)C1=NC(NCC2=CC=C(COC3=CC=CC=C3)C=C2)=NC2=NC(Cl)=CC=C12,True
CC1=CC(F)=C(Cl)C=C1NC1=NC(N[C@@H](CC(C)C)C(=O)OC2=CC=C([N+](=O)[O-])C=C2)=C2C(C(F)(F)F)=CC=CC2=N1,True
CC(C)(C#N)N(C(=O)C1=CC=C2C(=C1)CCN2C1=C([N+](=O)[O-])C=NC(N)=C1)C1=CC=CC=C1,True
FC1=C2CC[C@H](NC3=C4SC=C(Br)C4=NC(N4CCC[C@H]4C4=NC(C5=CC=CC=N5)=NO4)=N3)C2=CC=C1,True
CCOC(=O)C1=CC=C(NC2=NC(C(F)(F)F)=NC(NC3=CC=CC4=NN=C(C)C=C34)=C2)C([N+](=O)[O-])=C1,True
CCOC(=O)[C@H](CC1=CC=C(F)C=C1)NC1=C2SC=CC2=NC(N2CCCOC2)=N1,True
COC1=C(F)C(NC(=O)C2CCC(C)N(C3=C(C)C(C)=NC=N3)C2)=CC=C1F,True
CCN(C(=O)[C@H](CO)N(C)C1=NC(OC)=C(C)C=N1)C1=CC=C(C#N)C=C1[N+](=O)[O-],True
COC(=O)C(NC1=NC(NC2=CC(C)=CC(OC)=C2)=NC2=CC=C(F)C=C12)C1=CC=C(C2=CC=CC=C2)C=C1,True
NC(=O)C1=CC(N2CCC[C@@H]2CC(=O)NC2CCCC3=NC=CC=C32)=NC=C1,True
COC1=CC=C2C(=C1)C1=C(CCN(C(=O)CN(C3=CC=CC(F)=C3)C3=NC(C)=NC(C)=C3)C1)N2C,True
CCOC1=CC=C(CC2CCCCN2C2=NC(N(C3CC3)C(C)C3=CC=CN=C3)=NC=C2[N+](=O)[O-])C=C1,True
CC(C)N(C1=CC=C(C(=O)N[C@@H](C)C2=CC=C(F)C(F)=C2)C=N1)C1=NC=CC=C1C(N)=O,False
CC1CCC2=CC=CC(C(=O)NC3=C(F)C=NC=C3F)=C2N1C1=NC=CC(C2=CC=CC=C2)=N1,False
COC1=CC2=NC(N[C@H](C)C3=CC=CC(F)=C3)=NC(NCC3=NC=C(Br)C=N3)=C2C=C1,True
COC(=O)C1=NC(N(C)[C@H](C)C(=O)NCC(C2=C(F)C=CC=C2F)N(C)C)=C([N+](=O)[O-])C=C1,True
CC1=NN(C)C(CNC2=NC(NC3=CC=C(SCCC4=CC=CC=N4)C=C3)=NC3=CC=C(Br)C=C23)=C1,True
COC1=C(F)C(CNC2=C3COCC3=NC(NC3=CC(F)=C(Cl)C=C3I)=N2)=C(Cl)C=C1,True
COC1=CC(C2=CC=CC=C2NC2=NC(N3CC4=CC=CC(C(F)(F)F)=C4C3)=C3C=C(Br)C=CC3=N2)=CC=C1F,True
CC1=CC2=C(N=CC=C2N2C3=CC=CC=C3C[C@@H]2C(=O)N2CCCC2C2=CC=CC(Cl)=C2)N1,True
COCCNC(=O)C1=CC=C(N2CCCSC2C(=O)NCC2=CC=C(F)C(C)=C2F)N=C1,True
CCCCCCCCCN(CCCCCCCCC)C1=NC(N(CC2=CC=NC=C2)CC2=CC=C(C)S2)=C2N=CN(C)C2=N1,True
COC1=CC(Cl)=CC=C1C1=CC=C(NC2=NC(N(C)CC3=CC(Cl)=CC=C3Br)=C3SC4=CC=CC=C4C3=N2)C=C1,True
FC1=CC=C(Cl)C=C1CCNC1=NC(NCC2=CC=C(Br)C=C2F)=C2C=C(Br)C=CC2=N1,True
O=C(NC1=NNC2=CC(Br)=CC(F)=C12)[C@H]1C[C@H](O)CN1C1=NC=CC(F)=C1,True
COC[C@@H](C)NC1=NC(NCC2=CC=CC=C2C2=CC=CN=C2)=C2C=CC(Cl)=NC2=N1,True
CCCCCC1SCC(C(=O)N2CCC[C@H]2C(=O)OC(C)(C)C)N1C1=NC=CC=C1N,True
CN(CC[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)C1=NC(N2CCC(O[C@@H](C3=CC=C(Cl)C=C3)C3=CC=CC=N3)CC2)=C2C=C(Cl)C(Br)=CC2=N1,False
CC(NC(=O)C1CC2CCCCC2N1C1=CC=NC(C(=O)N(C)C)=C1)C1CC2CCC1C2,True
CC1=CC2=C(N(CC3=CC=C(Cl)C=C3)C3CC3)N=C(NC3=CC=CC(CN4C=NC=N4)=C3)N=C2C=C1,True
CCC1=CN=C(NC2=CC=C(OC3CCC3)C=C2)N=C1NCC1=CC=NC=C1F,True
CCCCCCCCN(CCCCC)C1=NC(NCC2=NN=CN2C2CCCCC2)=C2C(=N1)N=CN2C,True
COC1CCN(C(=O)C2=C(C)N=C(N(CCC3=CC=CC=C3)C3=NC=CC(C)=C3C(N)=O)N=C2)C1,True
CCC1=NC=CN1CCCNC1=CC(NC2=CC(Br)=CC=C2SC2=NN=CN2C)=NC2=CC(C)=NN12,True
NC(=O)C1=C(N)C=CC(N2CC3=C(C=CC=C3)C[C@H]2C(=O)NCC2=NC=CC=C2Cl)=N1,True
CC1=C(CNC2=NC(N(C)CCOC3=CC=CC=C3[N+](=O)[O-])=NC3=CC=CC=C23)N(C)N=C1,True
CCOC(=O)C1=CC(N2CCC=C(C(=O)NCCSCC3=CC=CC4=CC=CC=C34)C2)=NC=C1,True
COC1=CC=C(CN(CC2=CC=C(C)C=C2)C2=NC=C(OC)C(NCCN3N=C(C)C=C3C)=N2)C=C1OC,True
CSC1=NC(O)=CC(N2CC[C@@H]2C(=O)N2CCC3(C2)OCCO3)=N1,True
CC1=C([N+](=O)[O-])C(N(C)CC2=CC(F)=CC=C2OC2=CC=C(F)C(Cl)=C2)=NC(NC2CCC3=CC=CC=C3C2)=N1,True
CC1(C(=O)NC2=CC=CC=C2N2C=NC=N2)CCN(C2=NC=NC3=C2C=C(F)C=C3)CC1,True
COCCN(CC1=NN=C(C2=CC=CS2)O1)C1=C2C=CSC2=NC(N(C)CCCOC2=CC=C(C)C(C)=C2)=N1,True
CCCCOCCNC1=C2C(C)=CSC2=NC(NC2=CC=C(Cl)C=C2OC)=N1,True
CCC1=CC=C(NC2=NC(NCCSC3=NN=CN3C)=C3C(Cl)=CC=CC3=N2)C=C1,True
CCOC(=O)C1=CC=C(N2C=CN=C2)C(NC2=C(F)C(NCCC3=CC=CC=C3OCC)=NC(C)=N2)=C1,True
CC1=NC=C(CN(C)C(=O)CN(C2=NC3=CC=CC=C3C=C2C)[C@@H](C)C2=CC=CC=C2)S1,True
FC1=CC=CC2=NC(NCCCOC3=CC=CC=C3Cl)=NC(N3CCN4C=CC=C4C3C3=CC=CN=C3)=C12,True
CCOC1=CC2=C(N(CC3=CC=C(Br)C=C3)C3CCCCC3)N=C(N3CC=C(C4=CC=C(Br)C=C4)CC3)N=C2C=C1,True
COC1=NC(NC2=CC=CC(OC3CCCC3)=C2)=NC(N(C)CC2=C3C=CC=CC3=CC3=CC=CC=C23)=C1,True
CNC(=O)C1=CSC(NC(=O)[C@@H]2CCCN2C2=CC=C(C(=O)OC(C)(C)C)C=N2)=N1,True
COC(=O)[C@@H]1C[C@H](F)CN1C(=O)C1CC2CCCCC2N1C1=NC=NC(N2C=CN=C2)=C1N,True
CC1=NC=C(N)C(N(C)C2=CC=CC=C2C(=O)NCC2=CC(F)=C(F)C(F)=C2)=N1,True
C#CCN(CC(=O)NC1=CC=CC(C2=CC=CC=C2)=C1)C1=CC(C(F)(F)F)=CC(SCC)=N1,True
CC(C)P(CCCNC(=O)C1C2=CC=C(F)C=C2CCN1C1=C2N=CNC2=CC=N1)C(C)C,False
CC1=CC(CSCCNC(=O)C2COCCN2C2=C(CO)C=C3C=CC=C(C)C3=N2)=CC=C1,True
CCN(C(=O)[C@@H]1COCCN1C1=NC(C)=C(N)C=C1)C1=C(Cl)C=CC=C1Cl,True
CCCCN(C1=NC(NC2=CC=CC([N+](=O)[O-])=C2)=NC2=CC=C(F)C=C12)C1CC1,True
CCOC(=O)[C@@H]1CCCCN1C1=NC(N(C)CCOC2=CC=C(C)C=C2Cl)=NC=C1Cl,True
CCC1=C(NC2=CC(CC(=O)OC)=CC=C2Cl)N=CN=C1NC1=CC(Cl)=C(F)C=C1Cl,True
CNC1=CN=C(N2CCN(CCC(=O)NCC3=CC=CC(C(F)(F)F)=C3)CC2)C=N1,True
CCOC(=O)C=C(C)N(C)C1=NC(NCC2=NC(CC3=CC=CC=C3)=NO2)=NC(C)=C1F,True
CCOC(=O)CCN(CC1=CC=CN=C1)C1=C2SC3=CC=CC=C3C2=NC(N[C@H](CC2CC2)C(=O)OC)=N1,True
CC1(C(=O)N2CCC(C(C)(C)O)CC2)CCCN(C2=C3NC=NC3=NC=N2)C1,True
CCC1=CN=C(NC(C)C2=CC=CC=C2Cl)N=C1N(CCN1C=CN=C1)CC1=CC=CC=C1Br,True
COC1=CC(OC)=C(C2=CCN(C3=NC=C(OC)C(NC(C4=CC=C(C)C=C4)C4=CC=CS4)=N3)CC2)C(OC)=C1,True
COC1=CC=C(CN(C2=NC(N3CCSC4=CC=C(OC)C=C4C3)=NC=C2C)C2COC2)C=C1,True
COC1=CC=CC2=NC(NCCCC3=CN(C)N=C3)=NC(NC(C)C3=CC=CC(OC(C)C)=C3)=C12,True
CCCOC1=CC=C(NC2=NC(NC(C3=CC=CC=C3)C3=CC=CC(OC)=C3)=C3C=CC(OC)=CC3=N2)C=C1OCCC,True
CCCN(C1=NC(NC(C)C2=CC=C(OC)C=C2)=NC2=CC=C(Br)C=C12)C1CC1,True
CC1=C(C2=CC=CC([N+](=O)[O-])=C2)N=C(NC(=O)[C@H]2C[C@H](O)CN2C2=NC=C3NC=CC3=N2)S1,True
COC1=CC=C(CN(CC2=CC=C(Br)C=C2)C2=NC(N3CCC[C@@H]3CF)=C3C(=N2)CCS3(=O)=O)C=C1OC,True
BrC1=C(N2CCCCC2CC2=CC=CC=C2)N=CN=C1NCC1=CN(C2=CC=CC=C2)N=C1C1=CC=CC=C1,True
CN(CCC(OC1=CC=C(C(F)(F)F)C=C1)C1=CC=CC=C1)C1=NC(NC2=CC(F)=CC=C2OC(F)F)=NC2=CC(Cl)=CC=C12,True
CC(C)C1=NC(N2[C@@H](C(=O)NC3=NC=CC=C3CC#N)C[C@@H]3CCCC[C@@H]32)=C(C#N)C=C1,True
COCC(C)N(CC1=CC=CC(Br)=C1)C1=NC2=CC(C)=NN2C(NC2=CC=C(C3=CC4=CC=CC=C4O3)C=C2)=C1,True
C[C@H](C1=CC=C(F)C=C1)N(C1=NC(N2CCN3N=C(C(F)(F)F)N=C3C2)=C2CCCC2=N1)C1CC1,True
CNC1=NC=NC(N(C2=CC=CC=N2)C2=NC(C(=O)NCC3=CC=C(C(N)=O)C=C3)=CS2)=C1N,True
CCS(=O)(=O)CCN(C)C1=NC(NC2COC3=CC=CC=C3C2)=C2C=C(Cl)C(Br)=CC2=N1,True
CNC1=CC(N2CC(C(=O)N(C)C(C)C3=CC=CC=C3)C3=C2C=CC=C3)=NC(C)=N1,True
COC(=O)C(C)NC1=C2C=CSC2=NC(NC2=CC=C(C(C)(C)C)C=C2)=N1,True
CCCCOC1=CC(Br)=C(Cl)C=C1NC1=NC(NCC2=CC=C(OCCOC3=CC=CC=C3)N=C2)=C2C=CC(F)=CC2=N1,True
C=CCN(CC1=CC=CC=C1)C(=O)[C@H]1[C@H]2CC=C[C@H]2C2=C(C=CC=C2)N1C1=NC2=C(C=CN2)C(N)=N1,False
CC(C)[C@H](NC(=O)CCC1CCCCN1C1=NC2=CC=CC=C2C=C1N)C(=O)NC1CCCCC1,True
COCCOC1=CC=C(Cl)C=C1NC(=O)C1CC2=C(C=CC=C2)CN1C1=C(N)C(C#N)=CC=N1,True
CCN1CC(NC(=O)CC2CCN(C3=NC=C4C=NN(C)C4=C3)C2)CC1=O,True
CNC(=O)C1=CC=CN=C1N1CSCC1C(=O)NC1=NC=CC=C1F,True
COC1=CC=C(C2=CC(CNC3=C4N=CN(CC5=CC=CC=C5)C4=NC(NC4=CC=C(Cl)C=C4I)=N3)=NO2)C=C1,True
CCOC1=CC2=C(NCC3=CC=CC(Br)=C3F)N=C(NCCCC3=CC=CC=C3C)N=C2C=C1,True
CC1=CC2=NC(NCCC3=CC=C(OCC4=CC=CC=C4)C(OCC4=CC=CC=C4)=C3)=NC(N3CCCC3C3=CC=CC=N3)=C2C=C1,True
CC1=NC(N2[C@@H](C(=O)NCC(C3=CC=CC=C3Cl)N3CCOCC3)C[C@H]3CCCC[C@H]32)=CC=C1,True
CC1=NC(N)=C(F)C(N2CC(C(=O)N3CCN4C=C(C(F)(F)F)N=C4C3)C(C)(C)C2)=N1,True
COCCOCCNC1=CC(N(C)CC2=CC=C(OC)C3=NC=CC=C23)=NC=N1,True
BrC1=CC(CN(C2=CC(NCC3=CC=CC4=CC=CN=C34)=NC3=CC=NN23)C2CCCCC2)=CC=C1,True
NC(=O)C1=CC2=NC=NC(N3CCCSC3C(=O)NC3=CC=C([N+](=O)[O-])C=C3Cl)=C2S1,True
CCOC1=CC(NC2=NC(N(CCOC)CCOC3=CC=CC=C3)=C3C=C(C)SC3=N2)=CC=C1OC,True
CC1=COC(NC(=O)C(C2=CNC3=CC=CC=C23)N(C2=NC=CC(N)=C2F)C2CC2)=N1,True
CCOC(=O)CC(NC1=C2C(=NC(NC3=C(OC)C=CC4=CC=CC=C34)=N1)N=CN2C)C1=CC=C(OC)C=C1,True
O=C(NC1=NC2=C(CCCC2)S1)C1CCSCN1C1=CC=C2NC=C([N+](=O)[O-])C2=N1,True
CC1=CC=C2OC(C3=CC=C(NC4=NC(NCC5=CN(C)C=N5)=C5C=C(C)C=CC5=N4)C=C3)=NC2=C1,True
COC1=CC=C2OC(C(C)NC3=NC(N4CC=C(C5=CC=CC=C5)CC4)=C4C=C([N+](=O)[O-])C=CC4=N3)=C(C)C2=C1,True
CCOC(=O)C1(F)CCN(C2=NC(NCC3=CC=CC=C3Cl)=C3C=CC(Br)=C(F)C3=N2)CC1,True
CCCC(NC1=CC(N(CC2=CC=CC=C2)[C@H](C)C2=CC=CC3=CC=CC=C23)=NC2=CC(C)=NN12)C1=CC=CC=N1,True
CC1=CNC(=O)N=C1NC(=O)[C@@H]1C[C@@H](C2CCCCC2)CN1C1=CC2=C(C=N1)N(C)C=N2,True
CC1=CC=C(OC(F)(F)F)C=C1NC1=NC=C(C2CC2)C(N(CCC2=CC=CC(F)=C2)C2CC2)=N1,True
CCCN(C(=O)C(C)N(C1=CC=CC=C1)C1=NC2=CC=CC=C2N=C1)C1CC1,False
CC1=NC2=CC=C(NC3=NC(N(CC4=CC=CC(Cl)=C4)CC4=CC=CC(Cl)=C4)=C4C=CC=CC4=N3)C=C2C1(C)C,True
CCC[C@@H]1CN(C(=O)CCN(CC(C)C)C2=NC(C)=CC(C)=C2)CCN1C(=O)OC(C)(C)C,True
COC(=O)C1=CC(CC(C)NC2=NC(N3CCCCC3CCC3=CC=CC=C3)=NC3=CC=C(F)C=C23)=CC=C1,True
CCCCCCCCCCCCCCCCC1=CC=C(NC2=NC(NC(CC)CC3=CC=C(F)C=C3)=C3C=CC=C(Cl)C3=N2)C=C1,True
COCCOC1=CC(CNC(=O)C[C@H]2CCCN2C2=NC=CN=C2CO)=CC=C1,True
